"filename", "language", "TypeScript", "Markdown", "HTML", "JSON", "XML", "Batch", "TypeScript JSX", "JSON with Comments", "YAML", "Java", "Properties", "Groovy", "PostCSS", "comment", "blank", "total"
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/command_sender_get.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/custom_command_argument.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/event.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/event_get.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/new_command.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/events/sub_command.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/function/call_function.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/function/call_function_silent.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/function/def_function.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/function/default_function_main.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/function/return_of_function.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/item/string_to_item.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_create_empty.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_create_with.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_getIndex.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_getSublist.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_indexOf.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_isEmpty.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_length.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_repeat.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_reverse.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/simon/Documents/github/pluginwizard/PluginWizard/src/lib/codegen/generators/java/list/lists_setIndex.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 44
